"","year","bsan.sum_catch","bocc.sum_catch","chal.sum_catch","kbas.sum_catch","pbar.sum_catch","wcro.sum_catch","bsan.sum_harv","bocc.sum_harv","chal.sum_harv","kbas.sum_harv","pbar.sum_harv","wcro.sum_harv","bsan.sum_dead","bocc.sum_dead","chal.sum_dead","kbas.sum_dead","pbar.sum_dead","wcro.sum_dead"
"1",1980,1016429.7746374,2219442.722942,722952.4558243,2274118.5422822,184067.9175284,6812487.6356857,54192.8203819,302336.8523103,9347.9017744,145763.0916608,13633.2041246,817316.0728197,1016429.7746374,2219442.722942,722952.4558243,2274118.5422822,184067.9175284,6812487.6356857
"2",1981,607007.23084,988307.67801075,583921.37093594,1867966.55531314,352959.7001973,2680116.72290554,32977.8815238,74727.7344899,10274.3628147,113884.1069772,20567.762459,202553.2065373,607007.23084,988307.67801075,583921.37093594,1867966.55531314,352959.7001973,2680116.72290554
"3",1982,2102266.2704152,1045855.2256355,884831.6592058,2660556.4805429,1550566.272417,2492918.5214917,167239.8756324,47452.8610244,10431.9091455,112834.2196259,40131.0075124,245369.1625145,2102266.2704152,1045855.2256355,884831.6592058,2660556.4805429,1550566.272417,2492918.5214917
"4",1983,1125336.9624707,205852.1378278,325059.92645445,2941274.2528485,895855.99972614,1671462.3394816,54091.99042285,14259.0925735,4303.8030242,115315.3133458,20236.22315269,138341.80246413,1125336.9624707,205852.1378278,325059.92645445,2941274.2528485,895855.99972614,1671462.3394816
"5",1984,1025635.65939292,392820.6194874,492050.7752877,3037973.1911366,1489136.4132669,1562539.7065623,57098.4467934,80861.1957369,1950.2117813,115397.4991229,45144.5317506,174313.4712647,1025635.65939292,392820.6194874,492050.7752877,3037973.1911366,1489136.4132669,1562539.7065623
"6",1985,1718743.7448556,712546.268951,911790.45381209,2555877.0390285,1795960.01269314,1363029.2151038,123262.0307738,91541.3674198,5182.4969732,81700.6985002,15424.6468463,211332.71267085,1718743.7448556,712546.268951,911790.45381209,2555877.0390285,1795960.01269314,1363029.2151038
"7",1986,2269966.3792878,677261.7305734,1339167.1298396,4500244.9163875,1155995.6754548,2116624.9425866,83631.8741304,54600.3984367,6374.6532902,100171.1860637,15827.4911469,201403.6926407,2269966.3792878,677261.7305734,1339167.1298396,4500244.9163875,1155995.6754548,2116624.9425866
"8",1987,2592189.3055989,212161.8776479,1549719.8967326,2316710.1513411,1379473.6515897,1596480.8937124,337904.9667532,40384.4341516,44746.94090986,208273.6258986,129771.0213652,133472.97799306,2592189.3055989,212161.8776479,1549719.8967326,2316710.1513411,1379473.6515897,1596480.8937124
"9",1988,4222261.918379,1173887.7939424,1633071.9245128,2162501.2782985,844607.0397312,2273094.4904299,312064.7153063,166481.96707,14219.5443137,147156.9275216,28898.275925,132414.6459468,4222261.918379,1173887.7939424,1633071.9245128,2162501.2782985,844607.0397312,2273094.4904299
"10",1989,2284790.32049,307424.095063,1551892.5024476,1489383.4449534,729390.4969804,2360963.2483714,248549.1090526,2207.356547,21032.6649799,122750.7671635,24118.4156,538993.2206799,2284790.32049,307424.095063,1551892.5024476,1489383.4449534,729390.4969804,2360963.2483714
"11",1993,1541621.98867114,116551.5371864,295190.6087426,2590106.1991754,1243610.1784833,1084918.58897328,95012.2879099,7284.528475,4870.7980565,139197.9247372,57268.3381634,75001.4704039,1541621.98867114,116551.5371864,295190.6087426,2590106.1991754,1243610.1784833,1084918.58897328
"12",1994,1596578.2142491,172844.8924643,496976.99417564,2184925.1842383,1895628.2910652,743476.3218885,73848.6786631,28981.7691241,5407.8212386,81790.4726074,29605.9579146,43597.9046383,1596578.2142491,172844.8924643,496976.99417564,2184925.1842383,1895628.2910652,743476.3218885
"13",1995,1613297.2494121,20833.7586425,577723.82744296,1931885.9807984,1437716.5903062,1040484.5162699,154660.6796031,828.2082068,7306.1983668,107143.5251744,126113.1116105,117741.6485697,1613297.2494121,20833.7586425,577723.82744296,1931885.9807984,1437716.5903062,1040484.5162699
"14",1996,1469486.7553758,52424.2246367,513614.5927562,1566090.0769544,503719.1383345,1297481.3033406,35658.7251879,2390.681794,2224.5853121,35940.3979648,15016.3064057,60031.81125,1469486.7553758,52424.2246367,513614.5927562,1566090.0769544,503719.1383345,1297481.3033406
"15",1997,1360577.5181578,49473.9737028,421390.0370724,1727999.7792588,802248.2950386,513164.5868789,9764.2556042,5148.954618,1920.7055388,11704.2612302,15507.4942441,3410.7207318,1360577.5181578,49473.9737028,421390.0370724,1727999.7792588,802248.2950386,513164.5868789
"16",1998,1018444.4661209,25082.1127625,282962.92629982,1238689.10018372,1213588.7660613,389655.4380575,8111.8471845,0,1941.2016794,4411.6654469,8654.87587682,3897.73602813,1018444.4661209,25082.1127625,282962.92629982,1238689.10018372,1213588.7660613,389655.4380575
"17",1999,1189310.59828477,73682.3071714,677431.19724111,779411.82737107,929481.2349687,497061.5108689,29836.29670067,3633.2501904,2494.4236914,22742.5736417,49692.6644027,14024.3035277,1189310.59828477,73682.3071714,677431.19724111,779411.82737107,929481.2349687,497061.5108689
"18",2000,2829309.66177787,89278.68902016,976918.77214128,2099262.3578185,883850.27488347,592207.2086687,129470.59357783,8098.2046642,4428.7636315,69743.3168733,44397.73479145,30849.16064877,2829309.66177787,89278.68902016,976918.77214128,2099262.3578185,883850.27488347,592207.2086687
"19",2001,2216555.9894107,84497.1351495,943557.5309172,1788768.27671794,668229.54742748,586348.6009559,121189.4654633,7969.85737033,6443.3179453,106027.86711747,35629.79862197,14072.6763698,2216555.9894107,84497.1351495,943557.5309172,1788768.27671794,668229.54742748,586348.6009559
"20",2002,3259154.3624889,79090.3686423,1056564.5526857,1452462.3509451,905132.5064879,533520.7160238,157276.51661547,1966.58723738,12268.6770651,68822.00187481,34246.51181929,12811.57124107,3259154.3624889,79090.3686423,1056564.5526857,1452462.3509451,905132.5064879,533520.7160238
"21",2003,2428851.483532,12196.5305695,635000.54935091,1712279.0243866,565812.1874259,538351.5184393,127145.55380693,1461.74777237,4547.99701015,78331.35947235,34208.09422629,25418.54613481,2428851.483532,12196.5305695,635000.54935091,1712279.0243866,565812.1874259,538351.5184393
"22",2005,1237048.11400028,220652.690474126,293153.801124465,1056578.87561225,286880.777309382,322737.877514712,639407.076442036,174414.287800932,26084.4893585626,274179.973261276,121703.325596347,152176.28709061,639407.076442036,218588.972583392,32639.7907678823,274223.092735061,121703.325596347,152446.10837724
"23",2006,620772.338630659,52185.1876287709,371486.584997866,724046.664648439,146135.561733953,181635.046088591,247224.182163814,40627.8786048051,31768.8319644979,214474.436779478,60457.6610933254,71003.1579577235,247224.182163814,50387.3364014252,39541.2279147412,214567.715985941,60457.6610933254,71079.2540748045
"24",2007,475693.018761933,85319.8162305211,186716.287659284,852424.59718919,353908.034021901,392411.297248544,178652.291469897,71711.1486055903,20559.8190175996,226303.136938232,161625.332038006,295574.126900077,178652.291469897,84164.1859924666,22456.7757973172,226381.895216148,161625.332038006,297090.719021324
"25",2008,477565.984316057,45199.3024324666,227461.662420484,597114.870422451,163571.238388047,131120.50019494,195226.654219648,39392.8166040183,18249.2323034431,146827.378697483,52860.6444082491,59708.1106100837,195300.685002205,44768.1134934415,21353.5056234891,146995.601854908,52860.6444082491,59708.1106100837
"26",2009,413729.824625251,50078.5300970987,157456.253879391,623753.902832604,184070.777865296,227867.714589371,181539.85363368,46853.1962880228,14866.3004261169,148605.758008268,49530.7186570962,141376.357779067,181577.678675017,49631.3695635504,17722.7143150461,148605.758008268,49550.3580723202,142421.951084199
"27",2010,446626.42549952,61312.3173183806,189631.394039913,432708.555423691,168917.298629741,149261.14574472,216446.011443742,57040.242402948,24206.5463563355,90403.1621397092,79620.3552593744,68548.4635903497,216590.427134672,60743.2427814516,26093.0170852006,90440.6477556012,79620.3552593744,71855.4101220997
"28",2011,419063.425423678,164214.58864104,57388.431478664,449175.220717804,100511.251954212,65832.0173311414,237085.508699316,130939.501783304,11031.2491258243,130574.757714779,46309.0243085963,28053.7891306503,237085.508699316,163449.616806103,11031.2491258243,130574.757714779,46309.0243085963,28484.6621232203
"29",2012,298170.081237217,206984.881670985,134634.214582756,460601.313025632,90663.4167718792,120604.051719821,151025.576509307,179155.154226162,18699.1772198265,130131.554564648,49624.2870561918,61452.8403801093,151384.925255067,205518.965899887,20909.2286641103,130168.242278928,49624.2870561918,62024.7186217413
"30",2013,235053.458984597,187894.549894335,203129.055134494,602957.49808123,58126.1500301442,102415.514858178,64795.9542135997,174508.132765467,16377.0067699757,54692.322991632,19256.1822414135,32848.1013590184,64795.9542135997,182758.655395229,19113.0286725266,54741.375665393,19256.1822414135,32848.1013590184
"31",2014,185432.156047546,140174.897366132,97524.226916461,842638.760930524,66531.079750945,82598.359589805,44593.572454033,128786.344505012,6548.018414903,74339.205775428,13828.772690613,36476.504749671,44731.727526233,137865.054618014,8644.51972808091,75894.050495828,13828.772690613,39060.749479671
"32",2015,191215.080829081,130693.91701616,100003.424669154,776427.471115879,93492.132546362,57841.030073158,70909.529600454,119776.162491038,4569.818911442,82860.593623012,20936.32229345,13852.921732694,71131.794901434,129574.512604421,4578.945901389,83628.040005431,21746.15643159,16193.109867014
"33",2016,166599.787370497,77041.811852779,76296.483361414,1124487.75635885,98725.971058212,40609.483046221,20374.210544766,74271.76227316,7335.232389147,123164.26642834,13746.049383271,19189.098921798,20378.409608332,76493.236390838,7358.855691147,123826.767011874,13855.789760251,19296.867518698
"34",2017,223078.592808856,106725.77502226,99742.458585538,924808.589533689,99102.2235981,45028.329719402,41618.99687967,101810.559115735,8972.208511994,97428.738661803,10053.433009037,17678.306360398,41757.35315186,106390.703592149,9319.120358294,98311.528800259,10144.115158837,17805.147798468
"35",2018,201843.470799102,141344.460523744,52078.484369938,859224.946473445,101201.580928836,23219.439882665,49931.367759454,132553.708051348,7064.390083635,92539.483947979,18505.954913196,9078.473337554,49958.529923194,139833.723782853,7081.925249265,93094.695825435,18980.948317195,9255.385613164
"36",2019,180840.672810016,171936.073419179,54410.650789432,954781.370819917,53633.000190191,31035.684024214,37918.122150623,160421.229198125,7570.653659007,79278.024624696,5326.200056549,9879.774110882,37926.411847899,169913.293468474,7570.653659007,79667.888806591,5343.015775902,9957.740460822
"37",2020,127390.766088023,42279.344480682,31058.121930257,719942.287721961,74070.308480714,9751.757987771,23056.818085269,36098.894143088,5573.044541521,105148.250439903,18561.835076149,2868.209310353,23180.221669729,40548.196263887,5620.892207691,105299.915672837,18580.158759269,2869.514485391
"38",2021,202879.264915963,73371.539886977,86124.862161034,560152.917283804,119654.69908461,54686.176536137,41723.16181975,58231.436387523,13234.36994019,75482.187915545,36816.033319723,16320.692639542,41811.278662011,64473.318939499,13240.729529108,75667.000040951,36837.327374172,16431.822198709
"39",2022,171017.879711761,139462.453141564,63091.883398582,541586.966529758,48234.881348802,27376.732837319,37911.197768962,134429.035825861,10987.763300897,76581.031254085,8934.888116604,15289.197261024,37974.806464612,138290.040210413,10987.763300897,76794.542426885,9097.369759994,15289.197261024
